CO_ENTIDADE;NO_ENTIDADE;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TP_DEPENDENCIA;IN_ENSINO_MEDIO;IN_BIBLIOTECA;IN_LABORATORIO_INFORMATICA;IN_LABORATORIO_CIENCIAS;IN_QUADRA_ESPORTES;IN_SALA_ATENDIMENTO_ESPECIAL;IN_INTERNET;NU_MATRICULAS
ESC00001;Escola 1;3526829;Município 68;RN;1;1.0;0;0;1;1;0;1;332
ESC00002;Escola 2;1598265;Município 43;RS;1;1.0;0;1;1;1;0;1;148
ESC00003;Escola 3;2726502;Município 23;PA;3;1.0;1;0;0;0;0;1;76
ESC00004;Escola 4;1248881;Município 40;PR;1;1.0;1;1;1;0;1;0;280
ESC00005;Escola 5;6528453;Município 18;CE;1;1.0;1;0;0;1;0;1;142
ESC00006;Escola 6;1014253;Município 31;PE;4;1.0;0;0;0;1;1;1;487
ESC00007;Escola 7;4026055;Município 1;ES;1;1.0;1;0;0;0;0;0;134
ESC00008;Escola 8;7296975;Município 7;RO;1;1.0;0;1;0;1;0;0;443
ESC00009;Escola 9;8639787;Município 22;PI;1;1.0;1;1;0;0;0;1;410
ESC00010;Escola 10;5196914;Município 33;TO;1;1.0;0;1;0;0;1;1;288
ESC00011;Escola 11;5521643;Município 74;SE;2;1.0;0;0;0;1;0;0;69
ESC00012;Escola 12;7589212;Município 99;CE;1;1.0;0;1;0;0;0;1;113
ESC00013;Escola 13;5196914;Município 33;RS;1;1.0;1;1;1;0;1;1;257
ESC00014;Escola 14;9850005;Município 81;PI;1;1.0;1;1;0;1;0;1;220
ESC00015;Escola 15;6276549;Município 66;BA;1;1.0;0;0;0;1;1;1;250
ESC00016;Escola 16;1598265;Município 43;PA;1;1.0;1;1;0;0;0;0;106
ESC00017;Escola 17;6448986;Município 45;MS;1;1.0;1;0;1;0;1;1;181
ESC00018;Escola 18;1598265;Município 43;AC;2;1.0;1;0;1;0;1;1;424
ESC00019;Escola 19;4691137;Município 93;PB;1;1.0;0;1;0;1;0;0;299
ESC00020;Escola 20;7937654;Município 73;RR;1;1.0;1;1;1;1;0;0;220
ESC00021;Escola 21;4307675;Município 69;RJ;1;1.0;0;1;0;1;0;0;485
ESC00022;Escola 22;5427784;Município 62;RR;2;1.0;1;0;1;0;1;1;309
ESC00023;Escola 23;1873992;Município 3;RO;1;1.0;1;1;1;1;0;1;292
ESC00024;Escola 24;4601281;Município 32;SP;1;1.0;1;1;0;0;0;1;321
ESC00025;Escola 25;1229480;Município 17;AP;2;1.0;1;1;0;1;0;1;264
ESC00026;Escola 26;4004559;Município 79;RS;1;1.0;1;0;0;1;0;1;405
ESC00027;Escola 27;1114557;Município 71;SP;1;1.0;1;1;0;1;0;1;448
ESC00028;Escola 28;6456393;Município 67;AL;1;1.0;1;0;1;1;0;1;108
ESC00029;Escola 29;1306841;Município 49;AL;1;1.0;1;1;0;0;0;0;460
ESC00030;Escola 30;8639787;Município 22;SC;3;1.0;0;0;0;0;0;0;319
ESC00031;Escola 31;9232150;Município 11;MA;1;1.0;1;0;0;1;1;1;425
ESC00032;Escola 32;5521643;Município 74;PR;4;1.0;1;0;1;1;1;1;411
ESC00033;Escola 33;4508584;Município 15;PR;1;1.0;1;0;1;1;1;1;480
ESC00034;Escola 34;1616119;Município 82;TO;1;1.0;1;1;0;0;0;1;492
ESC00035;Escola 35;4793577;Município 70;MS;1;1.0;0;0;0;1;1;1;420
ESC00036;Escola 36;7267367;Município 98;BA;1;1.0;1;1;0;1;0;1;328
ESC00037;Escola 37;2885187;Município 83;DF;3;1.0;0;1;0;1;0;1;440
ESC00038;Escola 38;2726502;Município 23;AP;1;1.0;0;0;0;1;0;1;465
ESC00039;Escola 39;7937654;Município 73;AL;1;1.0;1;1;1;1;0;1;396
ESC00040;Escola 40;3050986;Município 65;CE;2;1.0;0;1;0;0;0;1;192
ESC00041;Escola 41;2640678;Município 97;ES;1;1.0;0;0;0;1;0;1;127
ESC00042;Escola 42;1590707;Município 38;ES;1;1.0;0;1;0;1;1;1;273
