NU_INSCRICAO;TP_SEXO;NU_IDADE;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;SG_UF_RESIDENCIA;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
10000000;M;15;1661309;Município 42;MG;2;1;0;ESC00194;623.857279602872;550.1303528955256;555.4123868369613;664.6792454683933;568.1989917841752
10000001;F;24;1590707;Município 38;CE;2;2;0;ESC00007;532.4896880467139;688.1124180572316;571.0388197014402;604.3432888592365;830.9038112758963
10000002;F;15;2726502;Município 23;PR;1;1;0;ESC00124;433.02116972709376;294.9003608834804;432.39019715911235;593.7577548920316;704.8221992984052
10000003;M;19;3538802;Município 19;PR;1;1;0;ESC00101;383.2170212146791;632.9856521627835;596.4205286074528;413.2393015972221;337.05662108078803
10000004;F;20;5975503;Município 56;BA;1;1;0;ESC00162;566.8372438580332;549.8950678627214;588.1561522760462;560.2654253169281;595.8575829493698
10000005;M;17;3303992;Município 2;GO;1;2;0;ESC00112;492.79606865960716;449.89447443708985;399.3262059437641;407.43365363224734;728.2361662444562
10000006;M;18;9232150;Município 11;RJ;2;2;0;ESC00137;620.4778926740314;464.1550968180783;705.0740993846807;423.1489352749999;560.0019208621404
10000007;M;19;3929404;Município 51;ES;2;1;0;ESC00049;484.8288078409689;450.14634107082156;694.4887577532459;547.7780603549322;483.2781938746071
10000008;F;17;2885187;Município 83;RS;1;2;0;ESC00115;438.4026859299656;600.411386617496;354.45110494659133;919.5965089008341;551.7179051484355
10000009;M;20;1306841;Município 49;PB;2;1;0;ESC00029;452.5443705032836;463.5782604487718;694.0127328254237;288.038784387872;608.535514399331
10000010;M;17;1400651;Município 59;MS;1;2;0;ESC00181;519.5133732902992;474.1342754570101;474.2424597360714;534.3868258396425;713.7153682016224
10000011;M;19;9850005;Município 81;SP;1;2;0;ESC00124;470.9388582906794;493.61283234427106;470.4506982092412;498.83548729148237;594.4153704155581
10000012;F;18;7171329;Município 75;CE;2;2;0;ESC00102;783.1998336526211;615.948514012591;584.502282680844;396.8432095084373;740.5510899171874
10000013;M;20;4948579;Município 12;RR;1;2;0;ESC00040;388.59559887574653;306.0226989284878;487.228559151395;581.0260520630711;661.4371736955405
10000014;M;19;2885187;Município 83;SP;2;1;0;ESC00139;680.9511268813848;763.3042012003003;615.5374475053559;802.228040290499;731.3231855142956
10000015;F;15;1229480;Município 17;MA;1;2;0;ESC00177;480.1882572624119;531.8485712931948;597.2602658249317;348.16266914833113;664.9024442495872
10000016;M;19;5616719;Município 24;PA;2;1;0;ESC00149;707.003488101865;497.1981833572032;548.1958806956087;709.3942650386059;786.0751279874818
10000017;F;15;1229480;Município 17;PB;1;2;0;ESC00161;435.70570403352406;475.81590580442725;370.2967268570773;577.503620310383;630.95116462803
10000018;M;22;7797984;Município 55;RN;1;2;0;ESC00137;343.82874985300725;455.1130366089212;420.7746487495309;348.6335294194198;777.2340487389658
10000019;F;16;6316351;Município 53;TO;1;1;0;ESC00189;271.8124442531108;519.5065593778994;524.849688181985;564.8782858161153;774.5249230189354
10000020;F;18;2052937;Município 50;AM;1;2;0;ESC00148;524.2139040197965;369.5107065328557;441.7776484710562;540.1636929485925;294.6756156744841
10000021;M;19;8639787;Município 22;TO;2;2;0;ESC00066;492.0813307165623;737.2558008828282;659.420519980001;515.1279291226097;724.6768101271048
10000022;F;18;1248881;Município 40;PE;1;2;0;ESC00199;556.2761407715892;267.7481405302124;510.51075043740116;486.2706143923496;516.574539710143
10000023;F;17;8383731;Município 27;PA;2;2;0;ESC00196;617.4320516387247;697.5821271248616;617.4451855140882;682.7459591771999;660.5638931981848
10000024;M;22;5233363;Município 14;RR;2;2;0;ESC00022;574.5813403666733;470.30460407355724;596.2593691569879;459.0533246015745;621.4990628292927
10000025;M;15;1661309;Município 42;AP;1;2;1;ESC00171;469.3119365715614;445.5555723422655;521.2928794771951;255.46639091923373;637.0745447277945
10000026;F;17;6448986;Município 45;AM;2;2;0;ESC00139;610.090316650072;482.45883504909204;688.6264033870432;526.93254428309;876.9063023565851
10000027;F;17;3148069;Município 4;SE;1;2;0;ESC00102;489.9754577731911;543.123891724288;459.14574106914955;339.92183000152914;734.1546769759793
10000028;F;21;8662457;Município 29;MT;1;2;0;ESC00178;447.72868698457467;480.5221016566106;422.2641753402287;448.26893686163385;763.9388327932128
10000029;M;16;2052937;Município 50;RJ;2;1;0;ESC00112;600.4268925391204;521.419461244336;458.52982101341416;406.51394860418804;666.9622694157085
10000030;M;17;6456393;Município 67;MG;1;2;0;ESC00154;465.3270626368661;507.97686023401286;484.71717268868554;386.6692065301016;594.8653807701609
10000031;M;15;8072166;Município 85;AM;1;1;0;ESC00135;519.8427017959335;445.45702125310225;489.57350108879376;503.2466732054162;416.1531738181044
10000032;F;20;6316489;Município 77;AL;1;2;0;ESC00080;437.1152459066287;448.0268296272677;539.9504759125039;542.04708176804;449.1195759345458
10000033;F;17;4691137;Município 93;PB;1;2;0;ESC00030;579.8725366639679;600.1790105833873;479.3412342558982;384.1135837104515;639.0036483353113
10000034;F;16;1629015;Município 41;AL;1;1;1;ESC00085;689.8210091459658;589.8995222391833;483.28548157724236;677.3490290693625;725.7600149985931
